      0		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      1		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      2		reset		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
     75		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0011		1100		
     76		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0011		1101		
     77		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0011		1110		
     78		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0011		1111		
     79		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0000		
     80		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0001		
     81		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0010		
     82		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0011		
     83		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0100		
     84		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0101		
     85		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0110		
     86		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		0111		
     87		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1000		
     88		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1001		
     89		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1010		
     90		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1011		
     91		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1100		
     92		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1101		
     93		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1110		
     94		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0100		1111		
     95		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0000		
     96		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0001		
     97		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0010		
     98		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0011		
     99		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0100		
    100		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0101		
    101		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0110		
    102		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		0111		
    103		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1000		
    104		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1001		
    105		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1010		
    106		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1011		
    107		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1100		
    108		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1101		
    109		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1110		
    110		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0101		1111		
    111		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0000		
    112		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0001		
    113		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0010		
    114		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0011		
    115		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0100		
    116		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0101		
    117		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0110		
    118		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		0111		
    119		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1000		
    120		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1001		
    121		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1010		
    122		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1011		
    123		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1100		
    124		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1101		
    125		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1110		
    126		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0110		1111		
    127		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0000		
    128		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0001		
    129		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0010		
    130		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0011		
    131		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0100		
    132		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0101		
    133		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0110		
    134		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		0111		
    135		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1000		
    136		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1001		
    137		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1010		
    138		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1011		
    139		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1100		
    140		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1101		
    141		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1110		
    142		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		0111		1111		
    143		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0000		
    144		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0001		
    145		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0010		
    146		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0011		
    147		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0100		
    148		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0101		
    149		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0110		
    150		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		0111		
    151		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1000		
    152		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1001		
    153		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1010		
    154		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1011		
